onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
69385.44861,5.9935286,3,1,1,3,5418880.0,5424883.0
69391.45047,3.5928608,3,2,2,5,5424885.0,5428484.0
69395.05168,3.5929101,3,3,2,4,5428487.0,5432085.0
69398.65287,3.593011,3,4,2,3,5432087.0,5435687.0
69402.2624,3.5928722,3,5,2,4,5435692.0,5439299.0
69405.8636,3.5929343,3,6,2,1,5439301.0,5442897.0
69409.46481,3.5928529,3,7,2,3,5442898.0,5446499.0
69413.06608,3.5927887,3,8,2,1,5446501.0,5450100.0
69416.6672,3.5928784,3,9,2,2,5450101.0,5453701.0
69420.2684,3.5928815,3,10,2,3,5453702.0,5457302.0
69423.86961,3.5929044,3,11,2,2,5457303.0,5460903.0
69427.4708,3.5928892,3,12,2,5,5460904.0,5464505.0
69431.07199,3.5929252,3,13,2,3,5464506.0,5468106.0
69434.6732,3.5928741,3,14,2,5,5468107.0,5471707.0
69438.2744,3.592858,3,15,2,4,5471711.0,5475308.0
69441.8756,3.5929246,3,16,2,3,5475310.0,5478910.0
69445.4768,3.5928719,3,17,2,4,5478911.0,5482511.0
69449.078,3.5928486,3,18,2,1,5482512.0,5486112.0
69452.6792,3.5928777,3,19,2,3,5486113.0,5489713.0
69456.28044,3.59337,3,20,2,1,5489714.0,5493315.0
69459.88159,3.5928551,3,21,2,2,5493316.0,5496916.0
69463.48279,3.5929321,3,22,2,3,5496917.0,5500517.0
69467.08485,3.5920103,3,23,2,2,5500519.0,5504118.0
69470.68519,3.5928674,3,24,2,5,5504120.0,5507719.0
69474.28638,3.5928817,3,25,2,3,5507720.0,5511320.0
69477.88759,5.9936785,3,26,1,3,5511324.0,5517323.0
69483.8896,3.5928485,3,27,3,5,5517324.0,5520924.0
69487.4908,3.5928563,3,28,3,4,5520925.0,5524525.0
69491.09205,3.5928566,3,29,3,3,5524527.0,5528127.0
69494.69318,3.5929223,3,30,3,4,5528130.0,5531728.0
69498.29439,3.5928497,3,31,3,1,5531729.0,5535329.0
69501.89558,3.5929248,3,32,3,3,5535330.0,5538930.0
69505.49677,3.5928913,3,33,3,1,5538931.0,5542531.0
69509.09804,3.5928732,3,34,3,2,5542532.0,5546132.0
69512.6992,3.5928492,3,35,3,3,5546133.0,5549733.0
69516.3004,3.5929083,3,36,3,2,5549735.0,5553335.0
69519.90159,3.5929166,3,37,3,5,5553336.0,5556936.0
69523.50279,3.5929308,3,38,3,3,5556937.0,5560537.0
69527.104,3.5928729,3,39,3,5,5560540.0,5564139.0
69530.70519,3.5928705,3,40,3,4,5564141.0,5567740.0
69534.30638,3.5928636,3,41,3,3,5567742.0,5571341.0
69537.90765,3.5927943,3,42,3,4,5571342.0,5574942.0
69541.5088,3.5928804,3,43,3,1,5574947.0,5578544.0
69545.11833,3.5929166,3,44,3,3,5578550.0,5582153.0
69548.71953,3.592855,3,45,3,1,5582155.0,5585755.0
69552.32071,3.5929021,3,46,3,2,5585756.0,5589356.0
69555.92193,3.5928881,3,47,3,3,5589357.0,5592957.0
69559.52318,3.5928049,3,48,3,2,5592959.0,5596558.0
69563.1243,3.5929593,3,49,3,5,5596559.0,5600160.0
69566.72555,3.5928316,3,50,3,3,5600161.0,5603760.0
69570.32673,5.9936982,3,51,1,3,5603763.0,5609762.0
69576.32873,3.5929205,3,52,4,5,5609764.0,5613364.0
69579.92991,3.5929323,3,53,4,4,5613365.0,5616965.0
69583.53113,3.5928368,3,54,4,3,5616966.0,5620566.0
69587.13233,3.5929106,3,55,4,4,5620568.0,5624168.0
69590.73351,3.5929461,3,56,4,1,5624170.0,5627769.0
69594.33471,3.5929395,3,57,4,3,5627771.0,5631370.0
69597.93592,3.5928616,3,58,4,1,5631371.0,5634971.0
69601.53713,3.5928465,3,59,4,2,5634972.0,5638572.0
69605.13836,3.5928438,3,60,4,3,5638573.0,5642174.0
69608.73955,3.5928371,3,61,4,2,5642176.0,5645775.0
69612.34072,3.5928656,3,62,4,5,5645776.0,5649376.0
69615.94192,3.5929425,3,63,4,3,5649378.0,5652977.0
69619.54316,3.5928928,3,64,4,5,5652981.0,5656579.0
69623.1444,3.5928452,3,65,4,4,5656582.0,5660180.0
69626.74553,3.5928977,3,66,4,3,5660181.0,5663781.0
69630.34673,3.592902,3,67,4,4,5663782.0,5667382.0
69633.94794,3.5929049,3,68,4,1,5667383.0,5670984.0
69637.54913,3.5929089,3,69,4,3,5670985.0,5674585.0
69641.15033,3.5929194,3,70,4,1,5674586.0,5678186.0
69644.75158,3.592804,3,71,4,2,5678189.0,5681787.0
69648.35273,3.592853,3,72,4,3,5681788.0,5685388.0
69651.95392,3.5928755,3,73,4,2,5685389.0,5688990.0
69655.55513,3.5929055,3,74,4,5,5688991.0,5692591.0
69659.15639,3.5928618,3,75,4,3,5692592.0,5696192.0
69662.75753,5.993728,3,76,1,3,5696195.0,5702194.0
69668.75955,3.5928575,3,77,5,5,5702196.0,5705796.0
69672.36077,3.6011461,3,78,5,4,5705797.0,5709405.0
69675.97026,3.5929292,3,79,5,3,5709406.0,5713006.0
69679.57146,3.5929215,3,80,5,4,5713008.0,5716608.0
69683.17268,3.5929304,3,81,5,1,5716609.0,5720209.0
69686.77395,3.5928313,3,82,5,3,5720210.0,5723810.0
69690.37506,3.5928683,3,83,5,1,5723812.0,5727411.0
69693.97627,3.5928573,3,84,5,2,5727412.0,5731012.0
69697.57747,3.5929209,3,85,5,3,5731013.0,5734614.0
69701.17866,3.5929248,3,86,5,2,5734615.0,5738215.0
69704.77986,3.5929207,3,87,5,5,5738216.0,5741816.0
69708.3811,3.5928243,3,88,5,3,5741819.0,5745417.0
69711.98225,3.5929372,3,89,5,5,5745418.0,5749019.0
69715.58347,3.5928503,3,90,5,4,5749020.0,5752620.0
69719.18467,3.5928511,3,91,5,3,5752621.0,5756221.0
69722.78593,3.5928533,3,92,5,4,5756222.0,5759822.0
69726.3871,3.5928316,3,93,5,1,5759823.0,5763424.0
69729.98826,3.5929266,3,94,5,3,5763425.0,5767025.0
69733.58946,3.5929361,3,95,5,1,5767026.0,5770626.0
69737.19068,3.592931,3,96,5,2,5770627.0,5774228.0
69740.79187,3.5929179,3,97,5,3,5774232.0,5777828.0
69744.39308,3.5928579,3,98,5,2,5777834.0,5781429.0
69747.99427,3.5928518,3,99,5,5,5781431.0,5785031.0
69751.59547,3.5929238,3,100,5,3,5785033.0,5788632.0
69755.19667,5.9937303,3,101,1,3,5788637.0,5794634.0
