onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
4434.225898,0,3,1,1,3,3917543.0,3923542.0
4437.825386,0,3,2,2,5,3923544.0,3927141.0
4441.424839,0,3,3,2,4,3927143.0,3930741.0
4445.02434,0,3,4,2,3,3930742.0,3934340.0
4448.632167,0,3,5,2,4,3934347.0,3937949.0
4452.231635,0,3,6,2,1,3937950.0,3941547.0
4455.839446,0,3,7,2,3,3941551.0,3945155.0
4459.43892,0,3,8,2,1,3945157.0,3948754.0
4463.046757,0,3,9,2,2,3948759.0,3952362.0
4466.646366,0,3,10,2,3,3952363.0,3955962.0
4470.245845,0,3,11,2,2,3955962.0,3959562.0
4473.845199,0,3,12,2,5,3959563.0,3963161.0
4477.444684,0,3,13,2,3,3963162.0,3966761.0
4481.044162,0,3,14,2,5,3966763.0,3970359.0
4484.64363,0,3,15,2,4,3970360.0,3973959.0
4488.243092,0,3,16,2,3,3973961.0,3977559.0
4491.84263,0,3,17,2,4,3977561.0,3981158.0
4495.442118,0,3,18,2,1,3981162.0,3984758.0
4499.041559,0,3,19,2,3,3984759.0,3988357.0
4502.641039,0,3,20,2,1,3988358.0,3991956.0
4506.248852,0,3,21,2,2,3991962.0,3995565.0
4509.848471,0,3,22,2,3,3995567.0,3999164.0
4513.447819,0,3,23,2,2,3999165.0,4002763.0
4517.047311,0,3,24,2,5,4002764.0,4006363.0
4520.646815,0,3,25,2,3,4006364.0,4009962.0
4526.65425,0,3,26,1,3,4009968.0,4015969.0
4530.262064,0,3,27,3,5,4015972.0,4019577.0
4533.861573,0,3,28,3,4,4019578.0,4023177.0
4537.469356,0,3,29,3,3,4023183.0,4026784.0
4541.06891,0,3,30,3,4,4026787.0,4030384.0
4544.668322,0,3,31,3,1,4030385.0,4033984.0
4548.267824,0,3,32,3,3,4033984.0,4037583.0
4551.867402,0,3,33,3,1,4037584.0,4041183.0
4555.466873,0,3,34,3,2,4041184.0,4044783.0
4559.066282,0,3,35,3,3,4044785.0,4048382.0
4562.665893,0,3,36,3,2,4048383.0,4051981.0
4566.265306,0,3,37,3,5,4051982.0,4055580.0
4569.864906,0,3,38,3,3,4055582.0,4059180.0
4573.464408,0,3,39,3,5,4059182.0,4062780.0
4577.06385,0,3,40,3,4,4062780.0,4066379.0
4580.663317,0,3,41,3,3,4066381.0,4069978.0
4584.262802,0,3,42,3,4,4069980.0,4073578.0
4587.862162,0,3,43,3,1,4073580.0,4077177.0
4591.461661,0,3,44,3,3,4077182.0,4080777.0
4595.0611,0,3,45,3,1,4080781.0,4084376.0
4598.669086,0,3,46,3,2,4084382.0,4087984.0
4602.268468,0,3,47,3,3,4087985.0,4091584.0
4605.867917,0,3,48,3,2,4091586.0,4095183.0
4609.467358,0,3,49,3,5,4095184.0,4098782.0
4613.066852,0,3,50,3,3,4098783.0,4102382.0
4619.074307,0,3,51,1,3,4102387.0,4108389.0
4622.682154,0,3,52,4,5,4108392.0,4111997.0
4626.281611,0,3,53,4,4,4111998.0,4115597.0
4629.881089,0,3,54,4,3,4115598.0,4119196.0
4633.480588,0,3,55,4,4,4119197.0,4122796.0
4637.080043,0,3,56,4,1,4122796.0,4126395.0
4640.679589,0,3,57,4,3,4126396.0,4129995.0
4644.279012,0,3,58,4,1,4129996.0,4133594.0
4647.878492,0,3,59,4,2,4133595.0,4137193.0
4651.478017,0,3,60,4,3,4137194.0,4140792.0
4655.077581,0,3,61,4,2,4140793.0,4144392.0
4658.677091,0,3,62,4,5,4144395.0,4147992.0
4662.276459,0,3,63,4,3,4147994.0,4151591.0
4665.875947,0,3,64,4,5,4151592.0,4155190.0
4669.475383,0,3,65,4,4,4155191.0,4158790.0
4673.074903,0,3,66,4,3,4158791.0,4162390.0
4676.674398,0,3,67,4,4,4162392.0,4165989.0
4680.273964,0,3,68,4,1,4165989.0,4169589.0
4683.873361,0,3,69,4,3,4169591.0,4173188.0
4687.472935,0,3,70,4,1,4173191.0,4176788.0
4691.07234,0,3,71,4,2,4176790.0,4180387.0
4694.671799,0,3,72,4,3,4180390.0,4183986.0
4698.271321,0,3,73,4,2,4183989.0,4187586.0
4701.879117,0,3,74,4,5,4187590.0,4191194.0
4705.4786,0,3,75,4,3,4191196.0,4194793.0
4711.486067,0,3,76,1,3,4194799.0,4200800.0
4715.08555,0,3,77,5,5,4200802.0,4204400.0
4718.685035,0,3,78,5,4,4204402.0,4208000.0
4722.284673,0,3,79,5,3,4208002.0,4211599.0
4725.884025,0,3,80,5,4,4211600.0,4215199.0
4729.483504,0,3,81,5,1,4215200.0,4218798.0
4733.083212,0,3,82,5,3,4218799.0,4222398.0
4736.682489,0,3,83,5,1,4222399.0,4225997.0
4740.28195,0,3,84,5,2,4226000.0,4229597.0
4743.881421,0,3,85,5,3,4229599.0,4233196.0
4747.480932,0,3,86,5,2,4233198.0,4236796.0
4751.088722,0,3,87,5,5,4236802.0,4240403.0
4754.688206,0,3,88,5,3,4240404.0,4244002.0
4758.287707,0,3,89,5,5,4244003.0,4247602.0
4761.887399,0,3,90,5,4,4247605.0,4251202.0
4765.486714,0,3,91,5,3,4251203.0,4254801.0
4769.08629,0,3,92,5,4,4254802.0,4258400.0
4772.685659,0,3,93,5,1,4258403.0,4262000.0
4776.28512,0,3,94,5,3,4262001.0,4265599.0
4779.884624,0,3,95,5,1,4265600.0,4269199.0
4783.484104,0,3,96,5,2,4269202.0,4272799.0
4787.083581,0,3,97,5,3,4272800.0,4276398.0
4790.683054,0,3,98,5,2,4276401.0,4279997.0
4794.282546,0,3,99,5,5,4279998.0,4283597.0
4797.882048,0,3,100,5,3,4283598.0,4287196.0
4803.881189,0,3,101,1,3,4287199.0,4293195.0
