onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
602.9076067,0,1,1,1,3,619045.0,625052.0
606.5155736,0,1,2,2,5,625056.0,628660.0
610.1151046,0,1,3,2,4,628661.0,632259.0
613.7146779,0,1,4,2,3,632260.0,635859.0
617.3227015,0,1,5,2,4,635866.0,639470.0
620.9304866,0,1,6,2,1,639473.0,643074.0
624.5301829,0,1,7,2,3,643077.0,646674.0
628.1296045,0,1,8,2,1,646676.0,650273.0
631.7291736,0,1,9,2,2,650274.0,653873.0
635.3287197,0,1,10,2,3,653874.0,657472.0
638.9282857,0,1,11,2,2,657473.0,661071.0
642.5278321,0,1,12,2,5,661074.0,664671.0
646.1274264,0,1,13,2,3,664673.0,668270.0
649.7269667,0,1,14,2,5,668271.0,671870.0
653.3265573,0,1,15,2,4,671871.0,675470.0
656.9261124,0,1,16,2,3,675471.0,679069.0
660.525717,0,1,17,2,4,679072.0,682669.0
664.1253087,0,1,18,2,1,682670.0,686269.0
667.7248617,0,1,19,2,3,686271.0,689868.0
671.3243754,0,1,20,2,1,689869.0,693468.0
674.9239428,0,1,21,2,2,693470.0,697067.0
678.5235105,0,1,22,2,3,697070.0,700667.0
682.1314259,0,1,23,2,2,700671.0,704274.0
685.7309732,0,1,24,2,5,704275.0,707874.0
689.3388373,0,1,25,2,3,707880.0,711482.0
695.3381026,0,1,26,1,3,711484.0,717481.0
698.9376514,0,1,27,3,5,717482.0,721081.0
702.5372399,0,1,28,3,4,721081.0,724680.0
706.1367789,0,1,29,3,3,724681.0,728280.0
709.7365141,0,1,30,3,4,728281.0,731879.0
713.335976,0,1,31,3,1,731882.0,735479.0
716.9354852,0,1,32,3,3,735480.0,739078.0
720.5350683,0,1,33,3,1,739080.0,742678.0
724.1346275,0,1,34,3,2,742681.0,746278.0
727.7342438,0,1,35,3,3,746278.0,749878.0
731.342089,0,1,36,3,2,749881.0,753485.0
734.9416282,0,1,37,3,5,753486.0,757084.0
738.5412241,0,1,38,3,3,757087.0,760685.0
742.1407714,0,1,39,3,5,760686.0,764283.0
745.7404765,0,1,40,3,4,764284.0,767884.0
749.3400367,0,1,41,3,3,767886.0,771483.0
752.9394874,0,1,42,3,4,771485.0,775083.0
756.5390158,0,1,43,3,1,775083.0,778682.0
760.1386118,0,1,44,3,3,778684.0,782282.0
763.7381483,0,1,45,3,1,782283.0,785881.0
767.3377076,0,1,46,3,2,785883.0,789480.0
770.9372632,0,1,47,3,3,789483.0,793080.0
774.5368159,0,1,48,3,2,793081.0,796679.0
778.1365206,0,1,49,3,5,796680.0,800279.0
781.7360798,0,1,50,3,3,800282.0,803879.0
787.7435231,0,1,51,1,3,803884.0,809886.0
791.3514539,0,1,52,4,5,809889.0,813494.0
794.9510012,0,1,53,4,4,813495.0,817093.0
798.5505479,0,1,54,4,3,817095.0,820693.0
802.1500971,0,1,55,4,4,820696.0,824293.0
805.7579994,0,1,56,4,1,824301.0,827901.0
809.3575863,0,1,57,4,3,827901.0,831500.0
812.9570984,0,1,58,4,1,831501.0,835100.0
816.556839,0,1,59,4,2,835101.0,838699.0
820.1562456,0,1,60,4,3,838700.0,842299.0
823.7557701,0,1,61,4,2,842300.0,845898.0
827.3553454,0,1,62,4,5,845901.0,849498.0
830.9549132,0,1,63,4,3,849499.0,853097.0
834.5544589,0,1,64,4,5,853100.0,856697.0
838.1540626,0,1,65,4,4,856700.0,860297.0
841.7535906,0,1,66,4,3,860298.0,863896.0
845.353135,0,1,67,4,4,863897.0,867496.0
848.9526513,0,1,68,4,1,867498.0,871095.0
852.552207,0,1,69,4,3,871097.0,874694.0
856.1517815,0,1,70,4,1,874699.0,878295.0
859.7513335,0,1,71,4,2,878299.0,881893.0
863.3592346,0,1,72,4,3,881897.0,885501.0
866.9587681,0,1,73,4,2,885502.0,889101.0
870.5583204,0,1,74,4,5,889103.0,892700.0
874.1579157,0,1,75,4,3,892703.0,896300.0
880.1571462,0,1,76,1,3,896301.0,902300.0
883.765013,0,1,77,5,5,902303.0,905907.0
887.3646114,0,1,78,5,4,905909.0,909507.0
890.9641115,0,1,79,5,3,909508.0,913106.0
894.5636741,0,1,80,5,4,913107.0,916706.0
898.1715321,0,1,81,5,1,916710.0,920313.0
901.7710364,0,1,82,5,3,920314.0,923913.0
905.3705959,0,1,83,5,1,923914.0,927513.0
908.9701496,0,1,84,5,2,927514.0,931113.0
912.5696044,0,1,85,5,3,931114.0,934712.0
916.1690784,0,1,86,5,2,934713.0,938311.0
919.7685477,0,1,87,5,5,938312.0,941910.0
923.3680671,0,1,88,5,3,941911.0,945511.0
926.9675073,0,1,89,5,5,945511.0,949110.0
930.5669775,0,1,90,5,4,949111.0,952709.0
934.1664405,0,1,91,5,3,952710.0,956308.0
937.7659068,0,1,92,5,4,956309.0,959908.0
941.3653959,0,1,93,5,1,959909.0,963507.0
944.964894,0,1,94,5,3,963508.0,967106.0
948.5643161,0,1,95,5,1,967107.0,970707.0
952.1637772,0,1,96,5,2,970708.0,974305.0
955.7632773,0,1,97,5,3,974307.0,977905.0
959.3627355,0,1,98,5,2,977906.0,981505.0
962.9622185,0,1,99,5,5,981506.0,985104.0
966.5616906,0,1,100,5,3,985107.0,988704.0
972.5691424,0,1,101,1,3,988709.0,994711.0
348.7693656,0,2,1,1,3,365978.0,371978.0
352.3689389,0,2,2,2,5,371980.0,375577.0
355.96854,0,2,3,2,4,375580.0,379176.0
359.5680957,0,2,4,2,3,379179.0,382776.0
363.1843342,0,2,5,2,4,382788.0,386395.0
366.7922557,0,2,6,2,1,386396.0,390000.0
370.3918159,0,2,7,2,3,390001.0,393599.0
373.9914187,0,2,8,2,1,393600.0,397199.0
377.5909769,0,2,9,2,2,397200.0,400798.0
381.1905392,0,2,10,2,3,400799.0,404398.0
384.7901201,0,2,11,2,2,404399.0,407998.0
388.3897575,0,2,12,2,5,407999.0,411597.0
391.9892784,0,2,13,2,3,411598.0,415197.0
395.5971781,0,2,14,2,5,415201.0,418804.0
399.1968264,0,2,15,2,4,418805.0,422404.0
402.7963466,0,2,16,2,3,422405.0,426004.0
406.3959179,0,2,17,2,4,426005.0,429603.0
409.9954685,0,2,18,2,1,429604.0,433203.0
413.5950519,0,2,19,2,3,433204.0,436802.0
417.1946116,0,2,20,2,1,436804.0,440402.0
420.7942009,0,2,21,2,2,440404.0,444002.0
424.393777,0,2,22,2,3,444003.0,447600.0
427.9933936,0,2,23,2,2,447603.0,451201.0
431.5929191,0,2,24,2,5,451201.0,454800.0
435.2008125,0,2,25,2,3,454804.0,458408.0
441.2001184,0,2,26,1,3,458410.0,464407.0
444.7996674,0,2,27,3,5,464409.0,468006.0
448.3992408,0,2,28,3,4,468011.0,471606.0
451.9988148,0,2,29,3,3,471611.0,475205.0
455.5984176,0,2,30,3,4,475209.0,478805.0
