onset	duration	run_number	trial_number	task	fixation_position
1905.338223	0	2	1	1	3
1908.945904	0	2	2	2	5
1912.545393	0	2	3	2	4
1916.153192	0	2	4	2	3
1919.761096	0	2	5	2	4
1923.368817	0	2	6	2	1
1926.968277	0	2	7	2	3
1930.56788	0	2	8	2	1
1934.175577	0	2	9	2	2
1937.77503	0	2	10	2	3
1941.37451	0	2	11	2	2
1944.973973	0	2	12	2	5
1948.573421	0	2	13	2	3
1952.172908	0	2	14	2	5
1955.772381	0	2	15	2	4
1959.371866	0	2	16	2	3
1962.971439	0	2	17	2	4
1966.570947	0	2	18	2	1
1970.170429	0	2	19	2	3
1973.769762	0	2	20	2	1
1977.369232	0	2	21	2	2
1980.968718	0	2	22	2	3
1984.568193	0	2	23	2	2
1988.175964	0	2	24	2	5
1991.775488	0	2	25	2	3
1997.774732	0	2	26	1	3
2001.374055	0	2	27	3	5
2004.973532	0	2	28	3	4
2008.57298	0	2	29	3	3
2012.17267	0	2	30	3	4
2015.771971	0	2	31	3	1
2019.371448	0	2	32	3	3
2022.970922	0	2	33	3	1
2026.570398	0	2	34	3	2
2030.17001	0	2	35	3	3
2033.76935	0	2	36	3	2
2037.368814	0	2	37	3	5
2040.968316	0	2	38	3	3
2044.567783	0	2	39	3	5
2048.175696	0	2	40	3	4
2051.775052	0	2	41	3	3
2055.374523	0	2	42	3	4
2058.974225	0	2	43	3	1
2062.573475	0	2	44	3	3
2066.172955	0	2	45	3	1
2069.772447	0	2	46	3	2
2073.372063	0	2	47	3	3
2076.971387	0	2	48	3	2
2080.570876	0	2	49	3	5
2084.170356	0	2	50	3	3
2090.169481	0	2	51	1	3
2093.76896	0	2	52	4	5
2097.368435	0	2	53	4	4
2100.967898	0	2	54	4	3
2104.567402	0	2	55	4	4
2108.16688	0	2	56	4	1
2111.774682	0	2	57	4	3
2115.374269	0	2	58	4	1
2118.973625	0	2	59	4	2
2122.573248	0	2	60	4	3
2126.172581	0	2	61	4	2
2129.772045	0	2	62	4	5
2133.371524	0	2	63	4	3
2136.971016	0	2	64	4	5
2140.57051	0	2	65	4	4
2144.169978	0	2	66	4	3
2147.769518	0	2	67	4	4
2151.368951	0	2	68	4	1
2154.968372	0	2	69	4	3
2158.567853	0	2	70	4	1
2162.167386	0	2	71	4	2
2165.775133	0	2	72	4	3
2169.374616	0	2	73	4	2
2172.974094	0	2	74	4	5
2176.573577	0	2	75	4	3
2182.572735	0	2	76	1	3
