onset	duration	run_number	trial_number	task	fixation_position
1501.320817	0	1	1	1	3
1504.928617	0	1	2	2	5
1508.528299	0	1	3	2	4
1512.127589	0	1	4	2	3
1515.727073	0	1	5	2	4
1519.335016	0	1	6	2	1
1522.934502	0	1	7	2	3
1526.533815	0	1	8	2	1
1530.133314	0	1	9	2	2
1533.732928	0	1	10	2	3
1537.340585	0	1	11	2	2
1540.940068	0	1	12	2	5
1544.539571	0	1	13	2	3
1548.139035	0	1	14	2	5
1551.738658	0	1	15	2	4
1555.337982	0	1	16	2	3
1558.937478	0	1	17	2	4
1562.536986	0	1	18	2	1
1566.136447	0	1	19	2	3
1569.735903	0	1	20	2	1
1573.335398	0	1	21	2	2
1576.934896	0	1	22	2	3
1580.542677	0	1	23	2	2
1584.142144	0	1	24	2	5
1587.741656	0	1	25	2	3
1593.740819	0	1	26	1	3
1597.348603	0	1	27	3	5
1600.948124	0	1	28	3	4
1604.547545	0	1	29	3	3
1608.147028	0	1	30	3	4
1611.746563	0	1	31	3	1
1615.346009	0	1	32	3	3
1618.945476	0	1	33	3	1
1622.54499	0	1	34	3	2
1626.144478	0	1	35	3	3
1629.743977	0	1	36	3	2
1633.343572	0	1	37	3	5
1636.942977	0	1	38	3	3
1640.542398	0	1	39	3	5
1644.150216	0	1	40	3	4
1647.749671	0	1	41	3	3
1651.349144	0	1	42	3	4
1654.948655	0	1	43	3	1
1658.548162	0	1	44	3	3
1662.147599	0	1	45	3	1
1665.747101	0	1	46	3	2
1669.346598	0	1	47	3	3
1672.94608	0	1	48	3	2
1676.545566	0	1	49	3	5
1680.145042	0	1	50	3	3
1686.152526	0	1	51	1	3
1689.76045	0	1	52	4	5
1693.359792	0	1	53	4	4
1696.959277	0	1	54	4	3
1700.558783	0	1	55	4	4
1704.158223	0	1	56	4	1
1707.75777	0	1	57	4	3
1711.357214	0	1	58	4	1
1714.956702	0	1	59	4	2
1718.556177	0	1	60	4	3
1722.155678	0	1	61	4	2
1725.755148	0	1	62	4	5
1729.354638	0	1	63	4	3
1732.962476	0	1	64	4	5
1736.57026	0	1	65	4	4
1740.169754	0	1	66	4	3
1743.769235	0	1	67	4	4
1747.36871	0	1	68	4	1
1750.968173	0	1	69	4	3
1754.567669	0	1	70	4	1
1758.167173	0	1	71	4	2
1761.766664	0	1	72	4	3
1765.366148	0	1	73	4	2
1768.965633	0	1	74	4	5
1772.565175	0	1	75	4	3
1778.572593	0	1	76	1	3
1782.172056	0	1	77	5	5
1785.771553	0	1	78	5	4
1789.371047	0	1	79	5	3
1792.970518	0	1	80	5	4
1796.569992	0	1	81	5	1
1800.16947	0	1	82	5	3
1803.768964	0	1	83	5	1
1807.368436	0	1	84	5	2
1810.967951	0	1	85	5	3
1814.567436	0	1	86	5	2
1818.16693	0	1	87	5	5
1821.766418	0	1	88	5	3
1825.365885	0	1	89	5	5
1828.965364	0	1	90	5	4
1832.564907	0	1	91	5	3
1836.164382	0	1	92	5	4
1839.763841	0	1	93	5	1
1843.363372	0	1	94	5	3
1846.962791	0	1	95	5	1
1850.562286	0	1	96	5	2
1854.161773	0	1	97	5	3
1857.761279	0	1	98	5	2
1861.369102	0	1	99	5	5
1864.968592	0	1	100	5	3
1870.967721	0	1	101	1	3
