onset	duration	run_number	trial_number	task	fixation_position
73899.72781	5.9935743	2	1	1	3
73905.72969	3.5928783	2	2	2	5
73909.33096	3.5927502	2	3	2	4
73912.93205	3.5928751	2	4	2	3
73916.53324	3.5929008	2	5	2	4
73920.13446	3.5929817	2	6	2	1
73923.73568	3.5928767	2	7	2	3
73927.33687	3.5928935	2	8	2	1
73930.93808	3.5928228	2	9	2	2
73934.53928	3.5927864	2	10	2	3
73938.14044	3.5929549	2	11	2	2
73941.74169	3.5928222	2	12	2	5
73945.34295	3.5927639	2	13	2	3
73948.94404	3.5929063	2	14	2	5
73952.54524	3.5929321	2	15	2	4
73956.14644	3.5928623	2	16	2	3
73959.74763	3.5929114	2	17	2	4
73963.34894	3.5928427	2	18	2	1
73966.95008	3.5928351	2	19	2	3
73970.55134	3.5927564	2	20	2	1
73974.15251	3.59289	2	21	2	2
73977.75368	3.5928727	2	22	2	3
73981.35488	3.5928265	2	23	2	2
73984.95609	3.5928839	2	24	2	5
73988.55731	3.592839	2	25	2	3
73992.15845	5.9936844	2	26	1	3
73998.16047	3.5929465	2	27	3	5
74001.76162	3.592949	2	28	3	4
74005.36293	3.5927705	2	29	3	3
74008.9641	3.5927889	2	30	3	4
74012.56523	3.5928436	2	31	3	1
74016.16641	3.5929497	2	32	3	3
74019.76775	3.5927665	2	33	3	1
74023.36885	3.5928318	2	34	3	2
74026.97002	3.5929389	2	35	3	3
74030.57137	3.5928225	2	36	3	2
74034.17249	3.5928474	2	37	3	5
74037.77365	3.5928347	2	38	3	3
74041.37484	3.5929128	2	39	3	5
74044.97609	3.5928403	2	40	3	4
74048.57722	3.5929203	2	41	3	3
74052.17848	3.5928323	2	42	3	4
74055.7797	3.5927923	2	43	3	1
74059.38087	3.592823	2	44	3	3
74062.98208	3.5927937	2	45	3	1
74066.58323	3.5928901	2	46	3	2
74070.18441	3.5929205	2	47	3	3
74073.78566	3.5928381	2	48	3	2
74077.38687	3.5928479	2	49	3	5
74080.98807	3.5928334	2	50	3	3
74084.58921	5.9937293	2	51	1	3
74090.59126	3.5928392	2	52	4	5
74094.19247	3.5928728	2	53	4	4
74097.7937	3.5928234	2	54	4	3
74101.39482	3.5929083	2	55	4	4
74104.99602	3.5929128	2	56	4	1
74108.59722	3.5929109	2	57	4	3
74112.19846	3.5928579	2	58	4	1
74115.79966	3.5929285	2	59	4	2
74119.40087	3.5927895	2	60	4	3
74123.00198	3.5929373	2	61	4	2
74126.60322	3.592924	2	62	4	5
74130.20445	3.5928294	2	63	4	3
74133.80566	3.5928976	2	64	4	5
74137.40689	3.5928344	2	65	4	4
74141.00806	3.5928382	2	66	4	3
74144.60932	3.5928211	2	67	4	4
74148.21049	3.5928344	2	68	4	1
74151.81164	3.5929773	2	69	4	3
74155.41284	3.5928795	2	70	4	1
74159.0141	3.5928452	2	71	4	2
74162.61525	3.5928741	2	72	4	3
74166.21641	3.5929297	2	73	4	2
74169.81766	3.5928719	2	74	4	5
74173.41886	3.5928243	2	75	4	3
74177.0201	5.9935838	2	76	1	3
74183.02201	3.5928665	2	77	5	5
74186.62323	3.5928907	2	78	5	4
74190.22446	3.5929018	2	79	5	3
74193.82573	3.5927989	2	80	5	4
74197.42689	3.5928389	2	81	5	1
74201.02806	3.5929003	2	82	5	3
74204.62933	3.59284	2	83	5	1
74208.23043	3.5928786	2	84	5	2
74211.83162	3.5928552	2	85	5	3
74215.4328	3.5929442	2	86	5	2
74219.03409	3.5928753	2	87	5	5
74222.63526	3.5929032	2	88	5	3
74226.23644	3.5929133	2	89	5	5
74229.83781	3.5927253	2	90	5	4
74233.43885	3.5928735	2	91	5	3
74237.04004	3.5928942	2	92	5	4
74240.64127	3.5928629	2	93	5	1
74244.24242	3.5929228	2	94	5	3
74247.84362	3.5930753	2	95	5	1
74251.44487	3.5928421	2	96	5	2
74255.0461	3.592814	2	97	5	3
74258.64729	3.5928717	2	98	5	2
74262.24851	3.5927613	2	99	5	5
74265.84964	3.5928651	2	100	5	3
74269.45081	5.9937258	2	101	1	3
