onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
69615.7	74.1626708	1	1	1	n/a	n/a	n/a	n/a
69690.20928	14.72516	1	2	2	10	n/a	n/a	n/a
69705.12537	14.5850534	1	3	2	9	n/a	n/a	n/a
69720.03208	15.4033599	1	4	2	15	n/a	n/a	n/a
69735.62704	14.4360444	1	5	2	11	n/a	n/a	n/a
69750.32417	14.5710185	1	6	2	23	n/a	n/a	n/a
69765.08674	15.1488564	1	7	2	13	n/a	n/a	n/a
69780.42412	14.7539202	1	8	2	21	n/a	n/a	n/a
69795.40869	14.485579	1	9	2	18	n/a	n/a	n/a
69810.08213	15.167503	1	10	2	5	n/a	n/a	n/a
69825.4465	14.5425903	1	11	2	19	n/a	n/a	n/a
69840.24895	14.6728867	1	12	2	22	n/a	n/a	n/a
69855.10923	14.9324995	1	13	2	10	n/a	n/a	n/a
69870.22919	14.3678087	1	14	2	20	n/a	n/a	n/a
69884.79797	14.7064404	1	15	2	7	n/a	n/a	n/a
69899.71155	14.410645	1	16	2	19	n/a	n/a	n/a
69914.30667	14.145198	1	17	2	25	n/a	n/a	n/a
69928.69644	14.2796929	1	18	2	24	n/a	n/a	n/a
69943.21082	14.5066543	1	19	2	13	n/a	n/a	n/a
69957.90872	14.4823568	1	20	2	7	n/a	n/a	n/a
69972.63522	14.7506756	1	21	2	15	n/a	n/a	n/a
69987.58595	14.7424449	1	22	2	8	n/a	n/a	n/a
70002.51575	14.3677784	1	23	2	3	n/a	n/a	n/a
70017.0943	14.6437683	1	24	2	8	n/a	n/a	n/a
70031.92794	14.814115	1	25	2	4	n/a	n/a	n/a
70046.95462	14.0435011	1	26	2	14	n/a	n/a	n/a
70061.2145	14.5328175	1	27	2	6	n/a	n/a	n/a
70075.93216	14.6193379	1	28	2	23	n/a	n/a	n/a
70090.74726	14.6564322	1	29	2	5	n/a	n/a	n/a
70105.59473	14.3093626	1	30	2	12	n/a	n/a	n/a
70120.09849	14.3440057	1	31	2	24	n/a	n/a	n/a
70134.67689	14.4644531	1	32	2	25	n/a	n/a	n/a
70149.3366	14.9710651	1	33	2	14	n/a	n/a	n/a
70164.49099	14.2144196	1	34	2	9	n/a	n/a	n/a
70178.92904	14.4143088	1	35	2	20	n/a	n/a	n/a
70193.53848	14.5810704	1	36	2	2	n/a	n/a	n/a
70208.33272	14.6640256	1	37	2	4	n/a	n/a	n/a
70223.19087	14.4495933	1	38	2	22	n/a	n/a	n/a
70237.84157	14.158748	1	39	2	17	n/a	n/a	n/a
70252.20213	14.7061072	1	40	2	16	n/a	n/a	n/a
70267.11106	14.2427786	1	41	2	21	n/a	n/a	n/a
70281.61249	14.1839439	1	42	2	2	n/a	n/a	n/a
70295.97975	13.9769286	1	43	2	17	n/a	n/a	n/a
70310.15339	14.1623919	1	44	2	1	n/a	n/a	n/a
70324.49934	14.6325418	1	45	2	16	n/a	n/a	n/a
70339.35144	14.3088673	1	46	2	1	n/a	n/a	n/a
70353.8708	14.0829972	1	47	2	6	n/a	n/a	n/a
70368.13839	14.4268066	1	48	2	12	n/a	n/a	n/a
70382.80217	14.3963373	1	49	2	3	n/a	n/a	n/a
70397.40511	14.8444801	1	50	2	18	n/a	n/a	n/a
70412.43533	14.4293217	1	51	2	11	n/a	n/a	n/a
70427.06532	73.1823958	1	52	1	n/a	n/a	n/a	n/a
70500.43858	14.5609555	1	53	3	n/a	3	16	n/a
70515.22772	14.9013609	1	54	3	n/a	1	7	n/a
70530.31601	14.3323797	1	55	3	n/a	1	4	n/a
70544.838	14.2944468	1	56	3	n/a	3	12	n/a
70559.32355	14.4662579	1	57	3	n/a	3	2	n/a
70573.99682	14.5529914	1	58	3	n/a	2	8	n/a
