onset	duration	run_number	trial_number	task	fixation_position
2117.807492	0	2	1	1	3
2121.415324	0	2	2	2	5
2125.014821	0	2	3	2	4
2128.614464	0	2	4	2	3
2132.222109	0	2	5	2	4
2135.829955	0	2	6	2	1
2139.429441	0	2	7	2	3
2143.02891	0	2	8	2	1
2146.628387	0	2	9	2	2
2150.227875	0	2	10	2	3
2153.827361	0	2	11	2	2
2157.426859	0	2	12	2	5
2161.026327	0	2	13	2	3
2164.625963	0	2	14	2	5
2168.233637	0	2	15	2	4
2171.833119	0	2	16	2	3
2175.432646	0	2	17	2	4
2179.032215	0	2	18	2	1
2182.631691	0	2	19	2	3
2186.239387	0	2	20	2	1
2189.838931	0	2	21	2	2
2193.438376	0	2	22	2	3
2197.037886	0	2	23	2	2
2200.637358	0	2	24	2	5
2204.236936	0	2	25	2	3
2210.244308	0	2	26	1	3
2213.85214	0	2	27	3	5
2217.451648	0	2	28	3	4
2221.051091	0	2	29	3	3
2224.650565	0	2	30	3	4
2228.25009	0	2	31	3	1
2231.849579	0	2	32	3	3
2235.449104	0	2	33	3	1
2239.04855	0	2	34	3	2
2242.648136	0	2	35	3	3
2246.247513	0	2	36	3	2
2249.846987	0	2	37	3	5
2253.446488	0	2	38	3	3
2257.045963	0	2	39	3	5
2260.645467	0	2	40	3	4
2264.245048	0	2	41	3	3
2267.844438	0	2	42	3	4
2271.443925	0	2	43	3	1
2275.043404	0	2	44	3	3
2278.642915	0	2	45	3	1
2282.250735	0	2	46	3	2
2285.85021	0	2	47	3	3
2289.449699	0	2	48	3	2
2293.049191	0	2	49	3	5
2296.648676	0	2	50	3	3
2302.647801	0	2	51	1	3
2306.247295	0	2	52	4	5
2309.846769	0	2	53	4	4
2313.446291	0	2	54	4	3
2317.045776	0	2	55	4	4
2320.645261	0	2	56	4	1
2324.244754	0	2	57	4	3
2327.844245	0	2	58	4	1
2331.443754	0	2	59	4	2
2335.043292	0	2	60	4	3
2338.642716	0	2	61	4	2
2342.242215	0	2	62	4	5
2345.850025	0	2	63	4	3
2349.44951	0	2	64	4	5
2353.05732	0	2	65	4	4
2356.656817	0	2	66	4	3
2360.256278	0	2	67	4	4
2363.855765	0	2	68	4	1
2367.455254	0	2	69	4	3
2371.054732	0	2	70	4	1
2374.654227	0	2	71	4	2
2378.253796	0	2	72	4	3
2381.853209	0	2	73	4	2
2385.452719	0	2	74	4	5
2389.0522	0	2	75	4	3
2395.059681	0	2	76	1	3
2398.65917	0	2	77	5	5
2402.258666	0	2	78	5	4
2405.85815	0	2	79	5	3
2409.457646	0	2	80	5	4
2413.057117	0	2	81	5	1
2416.656598	0	2	82	5	3
2420.256079	0	2	83	5	1
2423.855584	0	2	84	5	2
2427.455062	0	2	85	5	3
2431.054575	0	2	86	5	2
2434.654064	0	2	87	5	5
2438.253554	0	2	88	5	3
2441.853052	0	2	89	5	5
2445.45255	0	2	90	5	4
2449.060344	0	2	91	5	3
2452.659849	0	2	92	5	4
2456.259338	0	2	93	5	1
2459.858838	0	2	94	5	3
2463.458304	0	2	95	5	1
2467.057788	0	2	96	5	2
2470.657266	0	2	97	5	3
2474.256759	0	2	98	5	2
2477.856302	0	2	99	5	5
2481.455757	0	2	100	5	3
2487.46325	0	2	101	1	3
