onset	duration	run_number	trial_number	task	fixation_position
3291.463667	5.9907095	1	1	1	3
3297.479418	3.5911888	1	2	2	5
3301.078942	3.5914319	1	3	2	4
3304.686858	3.5912058	1	4	2	3
3308.286406	3.5912022	1	5	2	4
3311.894337	3.5911972	1	6	2	1
3315.502173	3.591238	1	7	2	3
3319.110218	3.591068	1	8	2	1
3322.717953	3.5912244	1	9	2	2
3326.325933	3.5911815	1	10	2	3
3329.925397	3.5912242	1	11	2	2
3333.533317	3.5912065	1	12	2	5
3337.141151	3.5912595	1	13	2	3
3340.749178	5.9907975	1	14	1	3
3346.748322	3.5912198	1	15	3	5
3350.35621	3.5912374	1	16	3	4
3353.972451	3.5912035	1	17	3	3
3357.572007	3.59125	1	18	3	4
3361.179874	3.5912614	1	19	3	1
3364.787772	3.5912299	1	20	3	3
3368.387327	3.5912031	1	21	3	1
3371.995224	3.591201	1	22	3	2
3375.603173	3.5911239	1	23	3	3
3379.210991	3.5911713	1	24	3	2
3382.810528	3.5912223	1	25	3	5
3386.418417	3.591211	1	26	3	3
3390.034642	5.9908917	1	27	1	3
3396.033866	3.5912116	1	28	4	5
3399.633434	3.5911831	1	29	4	4
3403.241286	3.5912352	1	30	4	3
3406.857521	3.5911411	1	31	4	4
3410.456993	3.591129	1	32	4	1
3414.064776	3.5911552	1	33	4	3
3417.664261	3.5911359	1	34	4	1
3421.280429	3.5910864	1	35	4	2
3424.87985	3.5911235	1	36	4	3
3428.487625	3.5911474	1	37	4	2
3432.095439	3.5912267	1	38	4	5
3435.703248	3.5911259	1	39	4	3
3439.302697	5.9908078	1	40	1	3
3445.31019	3.5911213	1	41	5	5
3448.917973	3.5911366	1	42	5	4
3452.525795	3.5911406	1	43	5	3
3456.1336	3.5912624	1	44	5	4
3459.733067	3.5911751	1	45	5	1
3463.349218	3.5911152	1	46	5	3
3466.948726	3.591082	1	47	5	1
3470.556464	3.5911379	1	48	5	2
3474.164266	3.5911546	1	49	5	3
3477.772099	3.5911228	1	50	5	2
3481.380064	3.5909575	1	51	5	5
3484.979359	3.5911082	1	52	5	3
3488.5955	5.9907552	1	53	1	3
