onset	duration	run_number	trial_number	task	fixation_position
362785.1564	5.9935719	4	1	1	3
362791.1583	3.5929232	4	2	2	5
362794.7595	3.5928349	4	3	2	4
362798.3607	3.5928068	4	4	2	3
362801.9619	3.5929199	4	5	2	4
362805.5631	3.5928657	4	6	2	1
362809.1643	3.5928968	4	7	2	3
362812.7655	3.5929159	4	8	2	1
362816.3667	3.5929054	4	9	2	2
362819.9679	3.5929293	4	10	2	3
362823.5692	3.5927461	4	11	2	2
362827.1703	3.5929231	4	12	2	5
362830.7715	3.5928666	4	13	2	3
362834.3727	3.5928817	4	14	2	5
362837.9739	3.5928692	4	15	2	4
362841.5751	3.592828	4	16	2	3
362845.1763	3.5928511	4	17	2	4
362848.7775	3.5928545	4	18	2	1
362852.3786	3.5928987	4	19	2	3
362855.9799	3.5928604	4	20	2	1
362859.5811	3.5928906	4	21	2	2
362863.1823	3.5928605	4	22	2	3
362866.7835	3.5929437	4	23	2	2
362870.3847	3.5928118	4	24	2	5
362873.9859	3.5928609	4	25	2	3
362877.5871	5.9936474	4	26	1	3
362883.5891	3.5929176	4	27	3	5
362887.1903	3.5929296	4	28	3	4
362890.7915	3.5928486	4	29	3	3
362894.3927	3.5928948	4	30	3	4
362897.9939	3.5928037	4	31	3	1
362901.5951	3.5929225	4	32	3	3
362905.1963	3.5928639	4	33	3	1
362908.7975	3.5928385	4	34	3	2
362912.3987	3.5928698	4	35	3	3
362915.9999	3.5928714	4	36	3	2
362919.6011	3.5929043	4	37	3	5
362923.2023	3.5928751	4	38	3	3
362926.8035	3.5928618	4	39	3	5
362930.4047	3.5928643	4	40	3	4
362934.0059	3.5928495	4	41	3	3
362937.6071	3.5928649	4	42	3	4
362941.2083	3.5929082	4	43	3	1
362944.8095	3.5928612	4	44	3	3
362948.4107	3.5928755	4	45	3	1
362952.0119	3.5928608	4	46	3	2
362955.6131	3.5928509	4	47	3	3
362959.2143	3.5928698	4	48	3	2
362962.8155	3.592874	4	49	3	5
362966.4167	3.5928685	4	50	3	3
362970.018	5.993613	4	51	1	3
362976.0283	3.5928693	4	52	4	5
362979.6295	3.5928702	4	53	4	4
362983.2307	3.5928644	4	54	4	3
362986.8319	3.592901	4	55	4	4
362990.4331	3.5928811	4	56	4	1
362994.0343	3.5928587	4	57	4	3
362997.6355	3.5928648	4	58	4	1
363001.2367	3.5928215	4	59	4	2
363004.8379	3.5928863	4	60	4	3
363008.4391	3.5928759	4	61	4	2
363012.0403	3.5928774	4	62	4	5
363015.6415	3.5928691	4	63	4	3
363019.2427	3.5928459	4	64	4	5
363022.8439	3.5928835	4	65	4	4
363026.4451	3.5928583	4	66	4	3
363030.0463	3.592863	4	67	4	4
363033.6475	3.5928896	4	68	4	1
363037.2487	3.5928592	4	69	4	3
363040.8499	3.5928332	4	70	4	1
363044.4511	3.5928655	4	71	4	2
363048.0524	3.592806	4	72	4	3
363051.6535	3.5929034	4	73	4	2
363055.2547	3.5928509	4	74	4	5
363058.856	3.5928897	4	75	4	3
363062.4571	5.9937198	4	76	1	3
363068.4591	3.5929185	4	77	5	5
363072.0604	3.5928869	4	78	5	4
363075.6615	3.5929321	4	79	5	3
363079.2628	3.5928759	4	80	5	4
363082.864	3.5929233	4	81	5	1
363086.4652	3.5929063	4	82	5	3
363090.0664	3.5928613	4	83	5	1
363093.6676	3.592921	4	84	5	2
363097.2688	3.5929383	4	85	5	3
363100.8701	3.5928371	4	86	5	2
363104.4712	3.5928833	4	87	5	5
363108.0724	3.5928213	4	88	5	3
363111.6736	3.5929321	4	89	5	5
363115.2748	3.5928656	4	90	5	4
363118.876	3.5929622	4	91	5	3
363122.4772	3.5929247	4	92	5	4
363126.0784	3.5928596	4	93	5	1
363129.6796	3.5928815	4	94	5	3
363133.2808	3.5928214	4	95	5	1
363136.882	3.5928647	4	96	5	2
363140.4832	3.5928779	4	97	5	3
363144.0844	3.5929208	4	98	5	2
363147.6856	3.5929145	4	99	5	5
363151.2868	3.5928821	4	100	5	3
363154.888	5.9936748	4	101	1	3
