onset	duration	run_number	trial_number	task	fixation_position
4321.514183	5.9907817	2	1	1	3
4327.513314	3.5911662	2	2	2	5
4331.12947	3.5911992	2	3	2	4
4334.728982	3.5911639	2	4	2	3
4338.336813	3.5911763	2	5	2	4
4341.944649	3.5911936	2	6	2	1
4345.544162	3.5911846	2	7	2	3
4349.160528	3.5910076	2	8	2	1
4352.759877	3.5911439	2	9	2	2
4356.376047	3.5911584	2	10	2	3
4359.975525	3.5912378	2	11	2	2
4363.583357	3.5911487	2	12	2	5
4367.191166	3.5911753	2	13	2	3
4370.799147	3.5910362	2	14	2	5
4374.406954	3.5911828	2	15	2	4
4378.006547	3.5909597	2	16	2	3
4381.614166	3.591169	2	17	2	4
4385.222114	3.5910855	2	18	2	1
4388.821517	3.5911343	2	19	2	3
4392.437797	3.5910491	2	20	2	1
4396.03718	3.5911698	2	21	2	2
4399.645013	3.5911402	2	22	2	3
4403.252982	3.5910323	2	23	2	2
4406.860677	3.5911723	2	24	2	5
4410.468489	3.5912336	2	25	2	3
4414.076348	5.9908169	2	26	1	3
4420.075503	3.5911605	2	27	3	5
4423.683472	3.5910257	2	28	3	4
4427.282832	3.5912879	2	29	3	3
4430.89898	3.5911861	2	30	3	4
4434.498482	3.5911637	2	31	3	1
4438.106527	3.5909806	2	32	3	3
4441.714174	3.5911596	2	33	3	1
4445.321993	3.5911676	2	34	3	2
4448.929825	3.5911709	2	35	3	3
4452.537672	3.5911402	2	36	3	2
4456.137178	3.591239	2	37	3	5
4459.74505	3.5911002	2	38	3	3
4463.352973	3.5910476	2	39	3	5
4466.960666	3.5911417	2	40	3	4
4470.56862	3.5910403	2	41	3	3
4474.167971	3.5911738	2	42	3	4
4477.77583	3.5911494	2	43	3	1
4481.375324	3.5911729	2	44	3	3
4484.991504	3.5911726	2	45	3	1
4488.591082	3.5910624	2	46	3	2
4492.207288	3.5910389	2	47	3	3
4495.806664	3.5911758	2	48	3	2
4499.414511	3.5911694	2	49	3	5
4503.022343	3.5911371	2	50	3	3
4506.621815	5.9908368	2	51	1	3
4512.637813	3.5910348	2	52	4	5
4516.237379	3.5909381	2	53	4	4
4519.845131	3.5910305	2	54	4	3
4523.452826	3.5911555	2	55	4	4
4527.052306	3.5911768	2	56	4	1
4530.660307	3.5910172	2	57	4	3
4534.268089	3.5910902	2	58	4	1
4537.884204	3.5913263	2	59	4	2
4541.483682	3.5911786	2	60	4	3
4545.083197	3.5912858	2	61	4	2
4548.699481	3.5910625	2	62	4	5
4552.298822	3.5911778	2	63	4	3
4555.906665	3.5911733	2	64	4	5
4559.514518	3.591135	2	65	4	4
4563.113986	3.5911802	2	66	4	3
4566.721844	3.591178	2	67	4	4
4570.329781	3.5910407	2	68	4	1
4573.937488	3.5912881	2	69	4	3
4577.545428	3.5910605	2	70	4	1
4581.153169	3.5911755	2	71	4	2
4584.761205	3.5910895	2	72	4	3
4588.368978	3.5910654	2	73	4	2
4591.968344	3.5911775	2	74	4	5
4595.576161	3.5911495	2	75	4	3
4599.18399	5.9908242	2	76	1	3
4605.199897	3.5910799	2	77	5	5
4608.799313	3.5911782	2	78	5	4
4612.398813	3.5912079	2	79	5	3
4616.006688	3.5911751	2	80	5	4
4619.614478	3.5911548	2	81	5	1
4623.213977	3.5911928	2	82	5	3
4626.821822	3.5911657	2	83	5	1
4630.429634	3.5911781	2	84	5	2
4634.037478	3.5911785	2	85	5	3
4637.645337	3.5911972	2	86	5	2
4641.253227	3.5910951	2	87	5	5
4644.852672	3.5911499	2	88	5	3
4648.460487	3.591169	2	89	5	5
4652.06832	3.5912361	2	90	5	4
4655.676205	3.5911465	2	91	5	3
4659.284084	3.591089	2	92	5	4
4662.88349	3.5911987	2	93	5	1
4666.491353	3.5911659	2	94	5	3
4670.099335	3.5910493	2	95	5	1
4673.707022	3.5911328	2	96	5	2
4677.314839	3.591139	2	97	5	3
4680.92267	3.5911694	2	98	5	2
4684.530491	3.5912127	2	99	5	5
4688.130032	3.5911809	2	100	5	3
4691.746173	5.9909298	2	101	1	3
